# Verb,Past,PastParticiple,Singular,Present
abort,aborted,aborted,aborts,aborting
accept,accepted,accepted,accepts,accepting
activate,activated,activated,activates,activating
add,added,added,adds,adding
allow,allowed,allowed,allows,allowing
appear,appeared,appeared,appears,appearing
ask,asked,asked,asks,asking
bag,bagged,bagged,bags,bagging
be,was,been,is,being
become,became,become,becomes,becoming
befuddle,befuddled,befuddled,befuddles,befuddling
begin,began,begun,begins,beginning
believe,believed,believed,believes,believing
besmirch,besmirched,besmirched,besmirches,besmirching
break,broke,broken,breaks,breaking
bring,brought,brought,brings,bringing
buck,bucked,bucked,bucks,bucking
build,built,built,builds,building
burn,burnt,burnt,burns,burning
buy,bought,bought,buys,buying
call,called,called,calls,calling
careen,careened,careened,careens,careening
change,changed,changed,changes,changing
clench,clenched,clenched,clenches,clenching
cling,clung,clung,clings,clinging
cluster,clustered,clustered,clusters,clustering
come,came,come,comes,coming
compress,compressed,compressed,compresses,compressing
consider,considered,considered,considers,considering
continue,continued,continued,continues,continuing
corrupt,corrupted,corrupted,corrupts,corrupting
cover,covered,covered,covers,covering
crash,crashed,crashed,crashes,crashing
create,created,created,creates,creating
cut,cut,cut,cuts,cutting
damage,damaged,damaged,damages,damaging
decide,decided,decided,decides,deciding
delay,delayed,delayed,delays,delaying
demote,demoted,demoted,demotes,demoting
die,died,died,dies,dieing
dilute,diluted,diluted,dilutes,diluting
disable,disabled,disabled,disables,disabling
display,displayed,displayed,displays,displaying
distill,distilled,distilled,distills,distilling
do,did,done,does,doing
douse,doused,doused,douses,dousing
drink,drank,drunk,drinks,drinking
drip,dripped,dripped,drips,dripping
drive,drove,driven,drives,driving
dye,dyed,dyed,dyes,dying
eat,ate,eaten,eats,eating
edit,edited,edited,edits,editing
enable,enabled,enabled,enables,enabling
enter,entered,entered,enters,entering
entice,enticed,enticed,entices,enticing
excite,excited,excited,excites,exciting
exhibit,exhibited,exhibited,exhibits,exhibiting
expect,expected,expected,expects,expecting
faint,fainted,fainted,faints,fainting
fall,fell,fallen,falls,falling
feel,felt,felt,feels,feeling
find,found,found,finds,finding
flay,flayed,flayed,flays,flaying
fly,flied,flied,flies,flying
follow,followed,followed,follows,following
fondle,fondled,fondled,fondles,fondling
fry,fried,fried,fries,frying
gag,gagged,gagged,gags,gagging
get,got,gotten,gets,getting
give,gave,given,gives,giving
glaze,glazed,glazed,glazes,glazing
glisten,glistened,glistened,glistens,glistening
go,went,gone,goes,going
grow,grew,grown,grows,growing
happen,happened,happened,happens,happening
hate,hated,hated,hates,hating
have,had,had,has,having
hear,heard,heard,hears,hearing
help,helped,helped,helps,helping
hibernate,hibernated,hibernated,hibernates,hibernating
hold,held,held,holds,holding
hump,humped,humped,humps,humping
ignite,ignited,ignited,ignites,igniting
ignore,ignored,ignored,ignores,ignoring
include,included,included,includes,including
invite,invited,invited,invites,inviting
jest,jested,jested,jests,jesting
jump,jumped,jumped,jumps,jumping
keep,kept,kept,keeps,keeping
kill,killed,killed,kills,killing
know,knew,known,knows,knowing
lead,led,led,leads,leading
learn,learned,learned,learns,learning
leave,left,left,leaves,leaving
let,let,let,lets,letting
lick,licked,licked,licks,licking
light,lit,lit,lights,lighting
like,liked,liked,likes,liking
listen,listened,listened,listens,listening
live,lived,lived,lives,living
look,looked,looked,looks,looking
lose,lost,lost,loses,losing
love,loved,loved,loves,loving
make,made,made,makes,making
mangle,mangled,mangled,mangles,mangling
mash,mashed,mashed,mashes,mashing
mean,meant,meant,means,meaning
meet,met,met,meets,meeting
motivate,motivated,motivated,motivates,motivating
move,moved,moved,moves,moving
navigate,navigated,navigated,navigates,navigating
need,needed,needed,needs,needing
negate,negated,negated,negates,negating
offer,offered,offered,offers,offering
open,opened,opened,opens,opening
operate,operated,operated,operates,operating
paint,painted,painted,paints,painting
pass,passed,passed,passes,passing
pay,paid,paid,pays,paying
play,played,played,plays,playing
press,pressed,pressed,presses,pressing
provide,provided,provided,provides,providing
pull,pulled,pulled,pulls,pulling
put,put,put,puts,putting
question,questioned,questioned,questions,questioning
raise,raised,raised,raises,raising
reach,reached,reached,reaches,reaching
read,read,read,reads,reading
remain,remained,remained,remains,remaining
remember,remembered,remembered,remembers,remembering
report,reported,reported,reports,reporting
require,required,required,requires,requiring
retry,retried,retried,retries,retrying
revert,reverted,reverted,reverts,reverting
run,ran,run,runs,running
say,said,said,says,saying
see,saw,seen,sees,seeing
seem,seemed,seemed,seems,seeming
sell,sold,sold,sells,selling
send,sent,sent,sends,sending
sense,sensed,sensed,senses,sensing
serve,served,served,serves,serving
set,set,set,sets,setting
show,showed,shown,shows,showing
sing,sang,sung,sings,singing
sink,sank,sunk,sinks,sinking
sit,sat,sat,sits,sitting
slam,slammed,slammed,slams,slamming
slash,slashed,slashed,slashes,slashing
slather,slathered,slathered,slathers,slathering
slide,slid,slid,slides,sliding
slip,slipped,slipped,slips,slipping
slobber,slobbered,slobbered,slobbers,slobbering
smell,smelt,smelt,smells,smelling
smite,smote,smitten,smites,smiting
speak,spoke,spoken,speaks,speaking
spend,spent,spent,spends,spending
split,split,split,splits,splitting
squash,squashed,squashed,squashes,squashing
stand,stood,stood,stands,standing
start,started,started,starts,starting
stay,stayed,stayed,stays,staying
sting,stung,stung,stings,stinging
stop,stopped,stopped,stops,stopping
stun,stunned,stunned,stuns,stunning
subdue,subdued,subdued,subdues,subduing
submerge,submerged,submerged,submerges,submerging
suck,sucked,sucked,sucks,sucking
suggest,suggested,suggested,suggests,suggesting
suspect,suspected,suspected,suspects,suspecting
suspend,suspended,suspended,suspends,suspending
swallow,swallowed,swallowed,swallows,swallowing
swim,swam,swum,swims,swimming
take,took,taken,takes,taking
talk,talked,talked,talks,talking
tell,told,told,tells,telling
think,thought,thought,thinks,thinking
touch,touched,touched,touches,touching
trample,trampled,trampled,tramples,trampling
trip,tripped,tripped,trips,tripping
try,tried,tried,tries,trying
turn,turned,turned,turns,turning
understand,understood,understood,understands,understanding
use,used,used,uses,using
wait,waited,waited,waits,waiting
walk,walked,walked,walks,walking
wallop,walloped,walloped,wallops,walloping
want,wanted,wanted,wants,wanting
watch,watched,watched,watches,watching
wave,waved,waved,waves,waving
win,won,won,wins,winning
wipe,wiped,wiped,wipes,wiping
work,worked,worked,works,working
write,wrote,written,writes,writing
yearn,yearned,yearned,yearns,yearning
zoom,zoomed,zoomed,zooms,zooming
zip,zipped,zipped,zips,zipping
